frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
150,0,198.733,-22.0202,188.717,22,5,2,3,0,0,0
151,0,198.733,-22.0202,188.717,24,10,4,6,0,0,0
152,0,198.733,-22.0202,188.717,23,8,4,4,0,0,0
153,0,198.733,-22.0202,188.717,28,5,2,3,0,0,0
154,0,198.733,-22.0202,188.717,17,5,2,3,0,0,0
155,0,198.733,-22.0202,188.717,16,5,2,3,0,0,0
156,0,198.733,-22.0202,188.717,19,5,2,3,0,0,0
157,0,198.733,-22.0202,188.717,16,4,2,2,0,0,0
158,0,198.733,-22.0202,188.717,17,5,2,3,0,0,0
159,0,198.733,-22.0202,188.717,18,5,2,3,0,0,0
160,1,140.374,-19.9318,198.298,18,4,2,2,0,0,0
161,1,132.356,-27.0208,204.491,15,8,3,4,0,0,1
162,1,128.388,-20.9283,200.005,18,4,2,2,0,0,0
163,1,120.977,-19.5078,202.55,18,6,3,2,0,0,1
164,1,117.085,-16.7889,203.068,16,5,2,3,0,0,0
165,1,112.884,-18.7532,203.926,18,5,2,3,0,0,0
166,0,112.884,-18.7532,203.926,16,4,1,3,0,0,0
167,1,99.5905,-21.6172,205.823,19,5,2,2,1,0,0
168,1,89.144,-18.1132,209.316,16,7,3,3,1,0,0
169,1,84.5177,-15.7185,210.382,20,5,2,3,0,0,0
170,1,80.9524,-18.798,210.697,17,5,2,3,0,0,0
171,1,74.343,-20.5892,212.918,17,5,2,3,0,0,0
172,1,56.2883,-20.3801,219.778,16,5,2,2,0,0,1
173,1,57.4763,-15.6873,218.713,17,4,2,2,0,0,0
174,1,48.4828,-18.4079,220.465,20,5,2,3,0,0,0
175,1,48.1794,-18.8416,220.612,16,4,2,2,0,0,0
176,1,34.8398,-19.8557,223.242,16,5,2,2,0,0,1
177,1,20.7974,-17.1102,225.735,17,5,2,2,0,0,1
178,1,15.4737,-14.2801,226.971,16,5,2,2,0,0,1
179,1,16.2511,-18.8233,227.085,16,4,2,2,0,0,0
180,1,8.50809,-15.6486,228.509,17,5,2,3,0,0,0
181,1,-10.5513,-17.1792,228.324,17,6,2,3,0,1,0
182,1,-20.1632,-19.2124,228.456,19,5,2,3,0,0,0
183,1,-21.4166,-25.0098,228.221,17,4,1,3,0,0,0
184,1,-29.3988,-22.3195,229.347,21,6,3,2,0,1,0
185,1,-36.5636,-21.335,228.565,19,14,3,10,0,0,1
186,1,-39.1689,-21.75,228.446,24,6,3,3,0,0,0
187,1,-42.2884,-21.8729,227.82,18,7,3,4,0,0,0
188,1,-55.1352,-14.0161,227.12,22,6,2,4,0,0,0
189,1,-64.5322,-20.1037,224.153,24,5,2,3,0,0,0
190,1,-65.875,-19.5268,226.363,21,7,3,4,0,0,0
191,1,-77.8166,-22.5971,223.286,19,6,2,4,0,0,0
192,1,-85.4667,-16.8004,223.697,17,7,3,3,0,1,0
193,1,-101.742,-15.5662,220.229,20,5,2,3,0,0,0
194,1,-102.509,-20.0319,221.322,17,6,4,2,0,0,0
195,1,-108.477,-18.0091,220.973,18,7,4,2,0,0,1
196,1,-121.797,-16.4983,216.913,19,6,2,4,0,0,0
197,1,-125.529,-18.8515,215.622,20,5,2,3,0,0,0
198,1,-127.716,-20.3879,216.071,19,6,1,4,0,1,0
199,1,-132.16,-18.7072,218.889,20,6,3,3,0,0,0
200,0,-132.16,-18.7072,218.889,18,5,2,3,0,0,0
201,0,-132.16,-18.7072,218.889,22,6,3,3,0,0,0
202,0,-132.16,-18.7072,218.889,24,8,5,3,0,0,0
203,0,-132.16,-18.7072,218.889,26,7,4,3,0,0,0
204,0,-132.16,-18.7072,218.889,20,6,2,4,0,0,0
205,1,-164.894,-17.4105,217.675,20,5,2,3,0,0,0
206,1,-167.267,-14.0186,230.009,23,6,2,3,0,0,1
207,1,-172.238,-12.4293,235.058,19,8,2,5,0,0,1
208,0,-172.238,-12.4293,235.058,21,6,3,3,0,0,0
209,1,-186.131,6.25508,243.625,19,8,3,5,0,0,0
210,0,-186.131,6.25508,243.625,22,4,1,3,0,0,0
211,0,-186.131,6.25508,243.625,20,6,4,2,0,0,0
212,0,-186.131,6.25508,243.625,19,5,2,3,0,0,0
213,1,-140.208,-15.3122,268.776,29,4,1,3,0,0,0
214,1,-127.682,-18.8225,272.707,17,8,4,3,0,0,1
215,1,-123.053,-17.3625,268.4,20,6,2,3,0,0,1
216,1,-110.416,-21.776,270.545,27,4,2,2,0,0,0
217,0,-110.416,-21.776,270.545,20,6,3,3,0,0,0
218,1,-93.783,-16.7954,273.242,20,5,2,3,0,0,0
219,0,-93.783,-16.7954,273.242,25,6,4,2,0,0,0
220,1,-68.0479,-17.708,274.625,22,6,3,3,0,0,0
221,1,-63.7277,-12.6845,272.702,19,7,2,3,0,0,2
222,1,-26.4318,-24.7438,278.564,25,7,3,4,0,0,0
223,0,-26.4318,-24.7438,278.564,20,4,1,3,0,0,0
224,1,-24.7079,-23.3409,273.557,39,7,3,3,0,0,1
225,0,-24.7079,-23.3409,273.557,16,6,2,4,0,0,0
226,0,-24.7079,-23.3409,273.557,16,4,2,2,0,0,0
227,1,35.4863,-21.8262,278.483,18,5,2,3,0,0,0
228,1,37.9216,-39.3745,276.333,16,5,2,2,0,0,1
229,1,38.7219,-39.4041,277.57,16,4,2,2,0,0,0
230,1,48.9127,-28.6386,276.726,18,5,2,2,0,1,0
231,1,53.6469,-30.7907,275.381,17,6,3,3,0,0,0
232,1,71.3274,-17.0552,273.529,19,5,2,3,0,0,0
233,1,66.2219,-28.0332,273.403,17,5,2,3,0,0,0
234,1,82.8414,-32.2631,270.463,15,6,3,3,0,0,0
235,1,93.7359,-36.2517,268.694,18,5,2,3,0,0,0
236,0,93.7359,-36.2517,268.694,17,4,2,2,0,0,0
237,1,103.567,-32.4087,275.336,17,6,3,2,0,0,1
238,0,103.567,-32.4087,275.336,17,4,1,3,0,0,0
239,1,128.85,-32.5185,271.617,16,6,2,3,0,0,1
240,0,128.85,-32.5185,271.617,15,5,2,3,0,0,0
241,0,128.85,-32.5185,271.617,17,6,2,4,0,0,0
242,0,128.85,-32.5185,271.617,19,5,2,3,0,0,0
243,0,128.85,-32.5185,271.617,20,5,2,3,0,0,0
244,1,188.022,-26.5522,267.777,17,6,2,3,0,0,1
245,0,188.022,-26.5522,267.777,17,5,3,2,0,0,0
246,0,188.022,-26.5522,267.777,17,5,2,3,0,0,0
247,0,188.022,-26.5522,267.777,17,4,2,2,0,0,0
248,0,188.022,-26.5522,267.777,17,4,2,2,0,0,0
249,0,188.022,-26.5522,267.777,17,5,2,3,0,0,0
250,1,233.689,-30.2545,285.806,17,4,1,3,0,0,0
251,0,233.689,-30.2545,285.806,16,5,2,3,0,0,0
252,0,233.689,-30.2545,285.806,17,5,2,3,0,0,0
253,0,233.689,-30.2545,285.806,17,4,2,2,0,0,0
254,0,233.689,-30.2545,285.806,18,4,1,3,0,0,0
255,0,233.689,-30.2545,285.806,16,3,1,2,0,0,0
256,0,233.689,-30.2545,285.806,17,5,2,3,0,0,0
257,0,233.689,-30.2545,285.806,18,4,2,2,0,0,0
258,0,233.689,-30.2545,285.806,16,4,1,3,0,0,0
259,0,233.689,-30.2545,285.806,15,4,2,2,0,0,0
260,0,233.689,-30.2545,285.806,19,4,1,3,0,0,0
261,0,233.689,-30.2545,285.806,16,6,2,4,0,0,0
262,0,233.689,-30.2545,285.806,16,4,1,3,0,0,0
263,0,233.689,-30.2545,285.806,17,5,2,3,0,0,0
264,1,106.653,-70.1383,281.844,17,4,2,2,0,0,0
265,0,106.653,-70.1383,281.844,17,4,1,3,0,0,0
266,1,60.8836,-42.4899,298.522,17,5,2,2,0,0,1
267,1,60.7606,-42.9039,297.654,16,6,2,3,0,0,1
268,1,55.5198,-35.796,300.617,17,5,2,3,0,0,0
269,1,56.214,-48.174,298.96,17,5,2,2,1,0,0
270,1,46.3723,-46.439,300.98,17,5,2,3,0,0,0
271,1,25.6891,-29.3461,307.84,15,6,2,4,0,0,0
272,1,25.3115,-37.474,305.949,18,6,2,4,0,0,0
273,1,35.6242,-43.7707,305.087,17,4,2,2,0,0,0
274,1,31.4726,-33.6866,308.12,17,6,2,4,0,0,0
275,1,33.659,-30.5767,309.124,17,5,1,4,0,0,0
276,0,33.659,-30.5767,309.124,16,6,3,3,0,0,0
277,1,-23.5569,-22.7323,313.719,16,6,2,3,0,0,1
278,0,-23.5569,-22.7323,313.719,17,5,2,3,0,0,0
279,1,65.7341,-16.0088,308.533,17,5,2,3,0,0,0
280,1,-69.0707,-3.857,311.297,16,5,2,2,0,0,1
281,1,-83.6181,-6.0252,309.911,18,5,2,3,0,0,0
282,0,-83.6181,-6.0252,309.911,17,4,2,2,0,0,0
283,1,-102.888,-6.37737,314.129,16,5,2,3,0,0,0
284,0,-102.888,-6.37737,314.129,17,6,2,4,0,0,0
285,0,-102.888,-6.37737,314.129,15,5,2,3,0,0,0
286,0,-102.888,-6.37737,314.129,16,6,2,4,0,0,0
287,0,-102.888,-6.37737,314.129,18,7,3,4,0,0,0
288,0,-102.888,-6.37737,314.129,20,4,1,3,0,0,0
289,0,-102.888,-6.37737,314.129,17,4,1,3,0,0,0
290,0,-102.888,-6.37737,314.129,19,5,2,3,0,0,0
291,0,-102.888,-6.37737,314.129,18,7,3,4,0,0,0
292,1,-95.312,-0.243345,345.828,16,5,2,3,0,0,0
293,0,-95.312,-0.243345,345.828,17,4,2,2,0,0,0
294,0,-95.312,-0.243345,345.828,18,5,2,3,0,0,0
295,0,-95.312,-0.243345,345.828,18,4,1,3,0,0,0
