t,frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
7360,114,1,-106.936,-15.7439,181.775,18,9,2,6,0,0,1
7417,115,1,-94.7295,-16.3258,184.372,21,7,2,4,0,0,0
7472,116,1,-78.8829,-19.996,188.354,19,7,1,5,0,0,0
7530,117,1,-68.4022,-20.6544,189.527,22,7,2,4,0,0,0
7586,118,1,-50.2733,0.446856,194.613,19,7,2,4,0,0,1
7642,119,1,-47.1934,-20.5083,188.891,19,7,2,4,0,0,0
7698,120,1,-28.4988,-18.9621,189.979,19,7,2,4,0,0,1
7752,121,1,-25.4465,-5.43457,190.989,17,7,1,5,1,0,0
7810,122,1,-2.03466,-16.7025,189.724,19,7,1,5,0,0,1
7870,123,1,2.19024,-20.2571,189.928,22,8,2,5,0,0,0
7929,124,1,9.26794,-15.9864,189.333,21,9,3,5,0,0,0
7985,125,1,28.1838,18.1305,186.673,19,8,1,5,0,0,1
8039,126,1,34.8258,-20.3353,185.665,19,6,1,5,0,0,0
8095,127,1,44.7316,-16.4548,185.049,19,7,2,4,0,0,0
8149,128,1,56.6208,-15.0601,184.003,17,7,2,5,0,0,0
8206,129,1,69.1312,-17.6968,183.273,18,7,2,4,0,0,0
8263,130,1,91.437,-40.7136,169.836,18,8,2,5,1,0,0
8317,131,1,94.589,-13.726,180.281,19,7,1,5,0,0,0
8377,132,1,105.145,-15.9734,180.483,19,8,2,5,0,0,0
8434,133,0,105.145,-15.9734,180.483,19,8,2,5,0,0,0
8492,134,0,105.145,-15.9734,180.483,17,6,1,5,0,0,0
8550,135,0,105.145,-15.9734,180.483,23,6,1,5,0,0,0
8602,136,0,105.145,-15.9734,180.483,16,8,2,5,0,0,0
8654,137,0,105.145,-15.9734,180.483,16,6,2,4,0,0,0
8729,138,0,105.145,-15.9734,180.483,19,7,2,4,0,0,0
8807,139,0,105.145,-15.9734,180.483,19,7,2,5,0,0,0
8867,140,0,105.145,-15.9734,180.483,18,10,3,6,0,0,0
8925,141,0,105.145,-15.9734,180.483,19,7,1,5,0,0,0
8983,142,0,105.145,-15.9734,180.483,21,7,2,5,0,0,0
9042,143,0,105.145,-15.9734,180.483,19,9,2,6,0,0,0
9098,144,0,105.145,-15.9734,180.483,19,6,1,5,0,0,0
9153,145,0,105.145,-15.9734,180.483,20,7,2,4,0,0,0
9207,146,0,105.145,-15.9734,180.483,18,6,2,4,0,0,0
9264,147,0,105.145,-15.9734,180.483,19,8,2,5,0,0,0
9318,148,0,105.145,-15.9734,180.483,18,7,2,5,0,0,0
9374,149,0,105.145,-15.9734,180.483,18,7,2,5,0,0,0
9427,150,0,105.145,-15.9734,180.483,18,6,2,4,0,0,0
9482,151,0,105.145,-15.9734,180.483,19,7,2,5,0,0,0
9538,152,0,105.145,-15.9734,180.483,19,7,2,4,0,0,0
9597,153,0,105.145,-15.9734,180.483,22,7,1,5,0,0,0
9654,154,0,105.145,-15.9734,180.483,18,7,2,5,0,0,0
9713,155,0,105.145,-15.9734,180.483,22,7,2,4,0,0,0
9773,156,0,105.145,-15.9734,180.483,19,9,2,6,0,0,0
9832,157,0,105.145,-15.9734,180.483,21,7,2,4,0,0,0
9920,158,0,105.145,-15.9734,180.483,20,7,2,4,0,0,0
9983,159,0,105.145,-15.9734,180.483,23,6,2,4,0,0,0
10047,160,1,140.373,-19.9322,198.299,18,7,2,4,0,0,1
10102,161,1,135.018,-25.8244,201.588,18,6,1,4,0,0,0
10168,162,1,128.39,-20.9352,200.004,24,7,2,4,0,0,0
10226,163,1,120.978,-19.5122,202.549,19,9,2,6,0,0,0
10283,164,1,117.085,-16.7887,203.068,20,8,3,4,0,0,0
10346,165,1,112.884,-18.7529,203.925,19,8,2,5,0,0,1
10400,166,0,112.884,-18.7529,203.925,17,7,2,5,0,0,0
10464,167,1,99.5914,-21.6167,205.822,18,8,2,5,0,0,0
10519,168,1,89.1452,-18.114,209.315,18,7,2,4,0,0,0
10571,169,1,84.5179,-15.7195,210.382,17,7,2,4,0,0,0
10630,170,1,80.9521,-18.7979,210.697,18,10,2,7,0,0,0
10680,171,1,74.3449,-20.5901,212.917,16,7,2,4,0,0,0
10735,172,1,56.2881,-20.3804,219.778,19,7,2,4,0,0,0
10791,173,1,57.477,-15.687,218.713,19,7,2,4,0,0,1
10846,174,1,48.4821,-18.4083,220.465,19,7,2,4,0,0,0
10902,175,1,48.1795,-18.8415,220.612,18,7,2,4,0,0,0
10954,176,1,34.8359,-19.8557,223.243,17,7,2,4,0,0,0
11012,177,1,20.8002,-17.1076,225.735,21,8,1,6,0,0,1
11065,178,1,15.4726,-14.2827,226.971,19,7,2,4,0,0,0
11120,179,1,16.2575,-18.8127,227.085,18,9,3,5,0,0,0
11178,180,1,8.50352,-15.6473,228.51,21,8,2,5,0,0,0
11234,181,1,-10.5521,-17.1789,228.324,19,8,2,5,0,0,0
11291,182,1,-20.1634,-19.2116,228.456,21,7,2,5,0,0,0
11345,183,1,-21.4157,-25.0211,228.218,19,7,2,4,0,0,1
11398,184,1,-29.3937,-22.3184,229.349,17,7,2,4,0,0,0
11451,185,1,-36.5586,-21.3357,228.566,19,7,2,4,0,0,0
11503,186,1,-39.1664,-21.7512,228.447,17,6,1,5,0,0,0
11558,187,1,-42.2905,-21.8675,227.819,16,8,3,5,0,0,0
11613,188,1,-55.1368,-14.0161,227.119,19,7,1,5,0,0,0
11670,189,1,-64.5337,-20.1023,224.152,19,7,2,4,0,0,0
11727,190,1,-65.8741,-19.5265,226.364,20,8,2,5,0,0,0
11779,191,1,-77.8166,-22.597,223.286,17,7,1,5,0,0,0
11834,192,1,-85.4669,-16.8009,223.696,18,7,2,4,0,0,0
11896,193,1,-101.743,-15.5684,220.229,22,9,2,6,0,0,1
11953,194,1,-102.51,-20.0326,221.322,20,8,2,5,0,0,0
12012,195,1,-108.473,-18.0114,220.975,21,8,2,5,0,0,0
12067,196,1,-121.797,-16.499,216.913,19,8,2,5,1,0,0
12121,197,1,-125.528,-18.8514,215.623,17,8,2,5,0,0,1
12176,198,1,-127.715,-20.3875,216.071,20,7,2,4,0,0,0
12232,199,1,-132.159,-18.7108,218.886,18,9,2,6,0,0,0
12285,200,0,-132.159,-18.7108,218.886,17,8,2,5,0,0,0
12341,201,1,-151.629,-14.9087,210.239,22,6,1,5,0,0,0
12394,202,0,-151.629,-14.9087,210.239,17,7,2,5,0,0,0
12450,203,0,-151.629,-14.9087,210.239,20,7,1,5,0,0,0
12505,204,0,-151.629,-14.9087,210.239,18,6,2,4,0,0,0
12556,205,0,-151.629,-14.9087,210.239,17,6,1,5,0,0,0
12613,206,0,-151.629,-14.9087,210.239,19,7,2,4,0,0,0
12668,207,1,-172.241,-12.427,235.054,20,7,2,4,0,0,0
12720,208,0,-172.241,-12.427,235.054,18,7,2,4,0,0,0
12775,209,0,-172.241,-12.427,235.054,19,7,2,4,0,0,0
12830,210,0,-172.241,-12.427,235.054,19,9,2,6,0,0,0
12882,211,1,-163.459,-16.1582,260.108,18,8,1,7,0,0,0
12936,212,0,-163.459,-16.1582,260.108,19,6,2,4,0,0,0
12991,213,1,-140.208,-15.3102,268.778,19,8,2,5,0,0,0
13046,214,1,-127.686,-18.8285,272.7,19,7,2,5,0,0,0
13099,215,1,-123.053,-17.363,268.4,17,7,2,4,0,0,0
13155,216,1,-110.413,-21.7747,270.547,20,7,2,4,0,0,0
13206,217,0,-110.413,-21.7747,270.547,17,6,1,4,0,0,0
13264,218,1,-93.7826,-16.7969,273.242,21,9,2,6,0,0,0
13319,219,1,-94.2342,-18.6813,269.374,19,7,2,4,0,0,0
13371,220,1,-68.0384,-17.7141,274.626,17,7,2,4,0,0,0
13425,221,1,-63.7279,-12.6818,272.702,19,7,2,4,0,0,1
13479,222,1,-26.4602,-24.7497,278.557,19,7,2,5,0,0,0
13532,223,1,-45.2637,-18.0201,272.537,17,7,2,4,0,0,0
13586,224,1,-24.6938,-23.3391,273.56,17,6,1,4,0,0,0
13643,225,1,57.0232,-36.7293,269.451,19,9,1,7,0,0,1
13694,226,0,57.0232,-36.7293,269.451,16,7,2,4,0,0,0
13745,227,1,35.4897,-21.8268,278.483,17,7,2,4,0,0,0
13803,228,1,37.9227,-39.3743,276.333,20,7,1,5,0,0,0
13857,229,1,38.7344,-39.4237,277.565,19,7,2,4,0,0,0
13912,230,1,48.9094,-28.6376,276.727,20,7,1,5,0,0,0
13973,231,1,53.6655,-30.8177,275.375,21,8,2,5,0,0,1
14030,232,1,71.3306,-17.0581,273.527,20,7,1,5,0,0,0
14084,233,1,66.2213,-28.026,273.403,19,7,1,5,0,0,0
14137,234,1,82.8336,-32.2506,270.466,18,7,2,4,0,0,0
14191,235,1,93.7344,-36.2499,268.695,18,6,1,4,0,0,0
14245,236,1,85.4395,-48.47,280.209,16,7,2,4,0,0,0
14296,237,1,103.565,-32.4077,275.337,17,6,1,4,0,0,0
14350,238,0,103.565,-32.4077,275.337,17,8,1,7,0,0,0
14405,239,1,128.85,-32.5164,271.617,19,7,2,4,0,0,0
14457,240,1,140.524,-23.2605,272.376,16,7,2,4,0,0,1
14509,241,1,156.195,-29.1335,268.737,16,8,2,5,0,0,0
14564,242,1,166.048,-28.5618,268.902,19,8,2,5,0,0,0
14617,243,1,172.062,-28.1957,271.902,17,7,2,5,0,0,0
14672,244,0,172.062,-28.1957,271.902,18,8,2,5,0,0,0
14728,245,0,172.062,-28.1957,271.902,19,7,2,4,0,0,0
14780,246,0,172.062,-28.1957,271.902,18,7,2,5,0,0,0
14833,247,0,172.062,-28.1957,271.902,19,7,1,5,0,0,0
14885,248,0,172.062,-28.1957,271.902,18,6,1,5,0,0,0
14941,249,0,172.062,-28.1957,271.902,18,7,2,5,0,0,0
14994,250,0,172.062,-28.1957,271.902,18,7,2,4,0,0,0
15051,251,0,172.062,-28.1957,271.902,20,7,2,4,0,0,0
15104,252,0,172.062,-28.1957,271.902,17,7,2,4,0,0,0
15160,253,0,172.062,-28.1957,271.902,24,6,1,5,0,0,0
15216,254,0,172.062,-28.1957,271.902,21,7,2,5,0,0,0
15266,255,0,172.062,-28.1957,271.902,16,6,1,5,0,0,0
15323,256,1,174.877,-28.2022,301.752,20,8,2,5,0,0,0
15376,257,0,174.877,-28.2022,301.752,19,6,2,4,0,0,0
15435,258,1,153.211,-28.7833,300.768,20,8,2,5,0,0,0
15489,259,0,153.211,-28.7833,300.768,20,6,1,5,0,0,0
15545,260,1,141.099,-32.8975,298.201,20,7,1,5,0,0,0
15599,261,1,128.771,-36.3745,298.689,19,7,2,4,0,0,0
