frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
215,1,-123.053,-123.053,-123.053,148,84,43,30,1,3,5
216,1,-110.416,-110.416,-110.416,145,77,43,26,1,2,3
217,0,-110.416,-110.416,-110.416,149,72,43,27,0,0,0
218,1,-93.783,-93.783,-93.783,147,79,43,27,1,2,4
219,0,-93.783,-93.783,-93.783,149,71,43,26,0,0,0
220,1,-68.0471,-68.0471,-68.0471,149,84,43,31,0,3,5
221,1,-63.7277,-63.7277,-63.7277,148,85,43,29,1,3,7
222,1,-26.4136,-26.4136,-26.4136,149,89,44,36,1,2,4
223,0,-26.4136,-26.4136,-26.4136,148,73,43,27,0,0,0
224,1,-24.7028,-24.7028,-24.7028,151,85,45,29,1,2,6
225,0,-24.7028,-24.7028,-24.7028,149,91,43,43,0,0,0
226,0,-24.7028,-24.7028,-24.7028,148,70,43,24,0,0,0
227,1,35.4863,35.4863,35.4863,150,84,43,26,1,4,8
228,1,37.9216,37.9216,37.9216,149,79,43,27,1,2,4
229,1,38.7219,38.7219,38.7219,148,78,42,27,0,3,4
230,1,48.9127,48.9127,48.9127,146,79,43,27,0,3,4
231,1,53.6469,53.6469,53.6469,148,81,44,27,1,3,3
232,1,71.3274,71.3274,71.3274,148,78,43,26,0,4,3
233,1,66.2219,66.2219,66.2219,149,86,43,29,1,2,7
234,1,82.8456,82.8456,82.8456,149,84,43,30,1,3,3
235,1,93.7359,93.7359,93.7359,145,82,43,26,0,3,7
236,0,93.7359,93.7359,93.7359,148,74,44,27,0,0,0
237,1,103.567,103.567,103.567,148,84,43,28,0,3,7
238,0,103.567,103.567,103.567,145,73,43,28,0,0,0
239,1,128.846,128.846,128.846,148,89,43,33,0,3,8
240,0,128.846,128.846,128.846,147,77,44,31,0,0,0
241,0,128.846,128.846,128.846,149,74,43,29,0,0,0
242,0,128.846,128.846,128.846,150,78,43,33,0,0,0
243,0,128.846,128.846,128.846,146,71,43,25,0,0,0
244,1,188.022,188.022,188.022,149,82,43,28,0,3,6
245,0,188.022,188.022,188.022,147,73,43,28,0,0,0
246,0,188.022,188.022,188.022,151,73,43,27,0,0,0
247,0,188.022,188.022,188.022,149,77,44,30,0,0,0
248,0,188.022,188.022,188.022,150,75,44,29,0,0,0
249,0,188.022,188.022,188.022,149,70,43,25,0,0,0
250,1,233.689,233.689,233.689,148,79,43,27,0,3,4
251,0,233.689,233.689,233.689,151,76,44,29,0,0,0
252,0,233.689,233.689,233.689,148,78,42,31,0,0,0
253,0,233.689,233.689,233.689,147,71,43,26,0,0,0
254,0,233.689,233.689,233.689,146,73,43,28,0,0,0
255,0,233.689,233.689,233.689,142,69,43,24,0,0,0
256,0,233.689,233.689,233.689,149,74,43,28,0,0,0
257,0,233.689,233.689,233.689,145,75,44,28,0,0,0
258,0,233.689,233.689,233.689,147,72,44,26,0,0,0
259,0,233.689,233.689,233.689,145,71,44,24,0,0,0
260,0,233.689,233.689,233.689,148,70,43,25,0,0,0
261,0,233.689,233.689,233.689,148,89,43,44,0,0,0
